,equity
2024-01-19 17:00:00+00:00,10000.0
2024-01-19 18:00:00+00:00,10012.407924338071
2024-01-19 19:00:00+00:00,10012.033463842743
2024-01-19 20:00:00+00:00,10008.137031315526
2024-01-19 21:00:00+00:00,10010.10223611049
2024-01-19 22:00:00+00:00,10011.429598773659
2024-01-19 23:00:00+00:00,10011.28822568056
2024-01-20 00:00:00+00:00,10004.596288738505
2024-01-20 01:00:00+00:00,10009.81093625816
2024-01-20 02:00:00+00:00,10008.337092062397
2024-01-20 03:00:00+00:00,10007.067229043814
2024-01-20 04:00:00+00:00,10007.497644771789
2024-01-20 05:00:00+00:00,10005.049276641006
2024-01-20 06:00:00+00:00,10007.080653547613
2024-01-20 07:00:00+00:00,10005.478266757958
2024-01-20 08:00:00+00:00,10001.938438846078
2024-01-20 09:00:00+00:00,9992.323186836511
2024-01-20 10:00:00+00:00,9999.399207053597
2024-01-20 11:00:00+00:00,9999.702791817537
2024-01-20 12:00:00+00:00,10000.65409338948
2024-01-20 13:00:00+00:00,10000.309268229523
2024-01-20 14:00:00+00:00,9993.764521349336
2024-01-20 15:00:00+00:00,9990.507916295954
2024-01-20 16:00:00+00:00,9987.586779337887
2024-01-20 17:00:00+00:00,9991.75899049439
2024-01-20 18:00:00+00:00,9985.538621855128
2024-01-20 19:00:00+00:00,9990.573415748448
2024-01-20 20:00:00+00:00,9997.53645807393
2024-01-20 21:00:00+00:00,9993.59401483808
2024-01-20 22:00:00+00:00,10002.890431838929
2024-01-20 23:00:00+00:00,10000.902228881469
2024-01-21 00:00:00+00:00,9992.2192194516
2024-01-21 01:00:00+00:00,9997.933266926342
2024-01-21 02:00:00+00:00,10008.343521177543
2024-01-21 03:00:00+00:00,10006.519240130294
2024-01-21 04:00:00+00:00,10004.716792233876
2024-01-21 05:00:00+00:00,10003.661176719073
2024-01-21 06:00:00+00:00,9999.151764677506
2024-01-21 07:00:00+00:00,10005.630318989299
2024-01-21 08:00:00+00:00,10005.412680596884
2024-01-21 09:00:00+00:00,10008.824543611734
2024-01-21 10:00:00+00:00,10014.47794344528
2024-01-21 11:00:00+00:00,10003.953325070675
2024-01-21 12:00:00+00:00,10001.95888407012
2024-01-21 13:00:00+00:00,10012.450232881552
2024-01-21 14:00:00+00:00,10011.14786810656
2024-01-21 15:00:00+00:00,9997.163215162096
2024-01-21 16:00:00+00:00,9999.626549068602
2024-01-21 17:00:00+00:00,10005.413373712785
2024-01-21 18:00:00+00:00,10005.88781154593
2024-01-21 19:00:00+00:00,10004.876555448689
2024-01-21 20:00:00+00:00,9995.952688243775
2024-01-21 21:00:00+00:00,10004.282901680845
2024-01-21 22:00:00+00:00,9988.014085289873
2024-01-21 23:00:00+00:00,9976.163536199696
2024-01-22 00:00:00+00:00,9986.009247550828
2024-01-22 01:00:00+00:00,9955.470214464836
2024-01-22 02:00:00+00:00,9951.202699872165
2024-01-22 03:00:00+00:00,9950.564686686757
2024-01-22 04:00:00+00:00,9923.835018583928
2024-01-22 05:00:00+00:00,9934.963687464868
2024-01-22 06:00:00+00:00,9943.84388836812
2024-01-22 07:00:00+00:00,9929.087450869663
2024-01-22 08:00:00+00:00,9912.589906231886
2024-01-22 09:00:00+00:00,9885.687998828054
2024-01-22 10:00:00+00:00,9872.707670821837
2024-01-22 11:00:00+00:00,9878.374932973371
2024-01-22 12:00:00+00:00,9864.88204575954
2024-01-22 13:00:00+00:00,9881.012932086527
2024-01-22 14:00:00+00:00,9856.70570405214
2024-01-22 15:00:00+00:00,9866.555227540717
2024-01-22 16:00:00+00:00,9852.685631835557
2024-01-22 17:00:00+00:00,9865.586598071292
2024-01-22 18:00:00+00:00,9855.341998520049
2024-01-22 19:00:00+00:00,9786.215123966158
2024-01-22 20:00:00+00:00,9812.803396425508
2024-01-22 21:00:00+00:00,9796.635428397902
2024-01-22 22:00:00+00:00,9786.382164897917
2024-01-22 23:00:00+00:00,9774.946445673537
2024-01-23 00:00:00+00:00,9793.162917741853
2024-01-23 01:00:00+00:00,9807.050534460399
2024-01-23 02:00:00+00:00,9812.520951696499
2024-01-23 03:00:00+00:00,9812.563231766362
2024-01-23 04:00:00+00:00,9820.190279123479
2024-01-23 05:00:00+00:00,9825.368548007977
2024-01-23 06:00:00+00:00,9822.131003641829
2024-01-23 07:00:00+00:00,9787.567739643859
2024-01-23 08:00:00+00:00,9747.913885922666
2024-01-23 09:00:00+00:00,9632.243346346848
2024-01-23 10:00:00+00:00,9645.550103713678
2024-01-23 11:00:00+00:00,9628.73246188111
2024-01-23 12:00:00+00:00,9643.486245964794
2024-01-23 13:00:00+00:00,9610.216989906763
2024-01-23 14:00:00+00:00,9601.561363881025
2024-01-23 15:00:00+00:00,9634.853882865425
2024-01-23 16:00:00+00:00,9633.9259101932
2024-01-23 17:00:00+00:00,9622.865479153968
2024-01-23 18:00:00+00:00,9596.810638136414
2024-01-23 19:00:00+00:00,9591.963952820526
2024-01-23 20:00:00+00:00,9603.672110965872
2024-01-23 21:00:00+00:00,9615.271951110306
2024-01-23 22:00:00+00:00,9648.572466725647
2024-01-23 23:00:00+00:00,9670.20153600132
2024-01-24 00:00:00+00:00,9681.375373806604
2024-01-24 01:00:00+00:00,9646.504247178069
2024-01-24 02:00:00+00:00,9643.952594941868
2024-01-24 03:00:00+00:00,9628.877855170922
2024-01-24 04:00:00+00:00,9631.092558457985
2024-01-24 05:00:00+00:00,9648.88251791617
2024-01-24 06:00:00+00:00,9656.72466848541
2024-01-24 07:00:00+00:00,9659.66197642284
2024-01-24 08:00:00+00:00,9664.02268466753
2024-01-24 09:00:00+00:00,9667.915590002249
2024-01-24 10:00:00+00:00,9691.90257495545
2024-01-24 11:00:00+00:00,9675.135093807869
2024-01-24 12:00:00+00:00,9662.14202246381
2024-01-24 13:00:00+00:00,9649.955883878209
2024-01-24 14:00:00+00:00,9649.837751830237
2024-01-24 15:00:00+00:00,9660.980693561436
2024-01-24 16:00:00+00:00,9673.018894474655
2024-01-24 17:00:00+00:00,9662.300137666482
2024-01-24 18:00:00+00:00,9631.734106349282
2024-01-24 19:00:00+00:00,9631.964554713633
2024-01-24 20:00:00+00:00,9615.883329893966
2024-01-24 21:00:00+00:00,9632.682434082082
2024-01-24 22:00:00+00:00,9641.645203432548
2024-01-24 23:00:00+00:00,9660.566686168695
2024-01-25 00:00:00+00:00,9660.889459272079
2024-01-25 01:00:00+00:00,9632.87326277496
2024-01-25 02:00:00+00:00,9624.578575591178
2024-01-25 03:00:00+00:00,9635.8596409477
2024-01-25 04:00:00+00:00,9630.423022358402
2024-01-25 05:00:00+00:00,9626.56210354744
2024-01-25 06:00:00+00:00,9646.632556756329
2024-01-25 07:00:00+00:00,9649.899180495182
2024-01-25 08:00:00+00:00,9647.039657967802
2024-01-25 09:00:00+00:00,9643.055154860502
2024-01-25 10:00:00+00:00,9666.447844741597
2024-01-25 11:00:00+00:00,9657.453815833818
2024-01-25 12:00:00+00:00,9627.78086279929
2024-01-25 13:00:00+00:00,9620.888130412523
2024-01-25 14:00:00+00:00,9625.602871317906
2024-01-25 15:00:00+00:00,9596.449699294455
2024-01-25 16:00:00+00:00,9589.82267314482
2024-01-25 17:00:00+00:00,9614.172050872878
2024-01-25 18:00:00+00:00,9627.812485839824
2024-01-25 19:00:00+00:00,9637.719948090846
2024-01-25 20:00:00+00:00,9635.436182991123
2024-01-25 21:00:00+00:00,9639.704929980006
2024-01-25 22:00:00+00:00,9644.770068713835
2024-01-25 23:00:00+00:00,9638.691538750016
2024-01-26 00:00:00+00:00,9633.196762844791
2024-01-26 01:00:00+00:00,9644.962714822836
2024-01-26 02:00:00+00:00,9651.53012972365
2024-01-26 03:00:00+00:00,9643.901707290432
2024-01-26 04:00:00+00:00,9645.902318958248
