,equity
2024-01-23 21:00:00+00:00,9805.285954711893
2024-01-23 22:00:00+00:00,9825.765482030665
2024-01-23 23:00:00+00:00,9859.565203042504
2024-01-24 00:00:00+00:00,9892.588333508975
2024-01-24 01:00:00+00:00,9856.753883443274
2024-01-24 02:00:00+00:00,9851.749494126134
2024-01-24 03:00:00+00:00,9837.806585413711
2024-01-24 04:00:00+00:00,9843.194633129428
2024-01-24 05:00:00+00:00,9853.891386492756
2024-01-24 06:00:00+00:00,9860.950769720977
2024-01-24 07:00:00+00:00,9869.25695687653
2024-01-24 08:00:00+00:00,9869.370302688107
2024-01-24 09:00:00+00:00,9875.678855782679
2024-01-24 10:00:00+00:00,9903.844946487055
2024-01-24 11:00:00+00:00,9890.693741094881
2024-01-24 12:00:00+00:00,9876.369578288977
2024-01-24 13:00:00+00:00,9870.027021450933
2024-01-24 14:00:00+00:00,9860.164905427388
2024-01-24 15:00:00+00:00,9876.667712120636
2024-01-24 16:00:00+00:00,9887.885856217214
2024-01-24 17:00:00+00:00,9882.753695257932
2024-01-24 18:00:00+00:00,9850.988359827796
2024-01-24 19:00:00+00:00,9857.825173098741
2024-01-24 20:00:00+00:00,9842.607982686484
2024-01-24 21:00:00+00:00,9853.201007458614
2024-01-24 22:00:00+00:00,9861.585506265801
2024-01-24 23:00:00+00:00,9881.327942337175
2024-01-25 00:00:00+00:00,9888.0981220098
2024-01-25 01:00:00+00:00,9873.274894160808
2024-01-25 02:00:00+00:00,9868.0620172448
2024-01-25 03:00:00+00:00,9874.668360698874
2024-01-25 04:00:00+00:00,9869.828151072441
2024-01-25 05:00:00+00:00,9862.37892694683
2024-01-25 06:00:00+00:00,9877.070261487806
2024-01-25 07:00:00+00:00,9883.319737371497
2024-01-25 08:00:00+00:00,9879.388355070607
2024-01-25 09:00:00+00:00,9877.143764529254
2024-01-25 10:00:00+00:00,9882.852615238944
2024-01-25 11:00:00+00:00,9888.207002683343
2024-01-25 12:00:00+00:00,9863.364348563226
2024-01-25 13:00:00+00:00,9866.838912896252
2024-01-25 14:00:00+00:00,9874.018167907017
2024-01-25 15:00:00+00:00,9859.899401450575
2024-01-25 16:00:00+00:00,9847.30908608962
2024-01-25 17:00:00+00:00,9857.169484752385
2024-01-25 18:00:00+00:00,9861.568332657986
2024-01-25 19:00:00+00:00,9870.517499690113
2024-01-25 20:00:00+00:00,9842.837422086886
2024-01-25 21:00:00+00:00,9867.499753324952
2024-01-25 22:00:00+00:00,9871.25562135398
2024-01-25 23:00:00+00:00,9869.362059356356
2024-01-26 00:00:00+00:00,9864.766058433044
2024-01-26 01:00:00+00:00,9867.71751467204
2024-01-26 02:00:00+00:00,9885.551619443067
2024-01-26 03:00:00+00:00,9879.651454742325
2024-01-26 04:00:00+00:00,9885.653630673485
2024-01-26 05:00:00+00:00,9883.01782534612
2024-01-26 06:00:00+00:00,9874.661147783592
2024-01-26 07:00:00+00:00,9871.199291920348
2024-01-26 08:00:00+00:00,9884.97939483069
2024-01-26 09:00:00+00:00,9882.895205786324
2024-01-26 10:00:00+00:00,9936.691532265191
2024-01-26 11:00:00+00:00,9987.31245865916
2024-01-26 12:00:00+00:00,9974.165374932862
2024-01-26 13:00:00+00:00,9964.303602381473
2024-01-26 14:00:00+00:00,10004.481944807769
2024-01-26 15:00:00+00:00,9997.963530225703
2024-01-26 16:00:00+00:00,10046.986624148612
2024-01-26 17:00:00+00:00,10043.46298173942
2024-01-26 18:00:00+00:00,10049.83155391601
2024-01-26 19:00:00+00:00,10047.77287845663
2024-01-26 20:00:00+00:00,10047.772878456628
2024-01-26 21:00:00+00:00,10047.772878456628
2024-01-26 22:00:00+00:00,10047.772878456628
2024-01-26 23:00:00+00:00,10047.772878456628
2024-01-27 00:00:00+00:00,10047.772878456628
2024-01-27 01:00:00+00:00,10047.772878456628
2024-01-27 02:00:00+00:00,10047.772878456628
2024-01-27 03:00:00+00:00,10047.772878456628
2024-01-27 04:00:00+00:00,10047.772878456628
2024-01-27 05:00:00+00:00,10047.772878456628
2024-01-27 06:00:00+00:00,10047.772878456628
2024-01-27 07:00:00+00:00,10047.772878456628
2024-01-27 08:00:00+00:00,10047.772878456628
2024-01-27 09:00:00+00:00,10047.772878456628
2024-01-27 10:00:00+00:00,10047.772878456628
2024-01-27 11:00:00+00:00,10047.772878456628
2024-01-27 12:00:00+00:00,10047.772878456628
2024-01-27 13:00:00+00:00,10047.772878456628
2024-01-27 14:00:00+00:00,10047.772878456628
2024-01-27 15:00:00+00:00,10047.772878456628
2024-01-27 16:00:00+00:00,10047.772878456628
2024-01-27 17:00:00+00:00,10047.772878456628
2024-01-27 18:00:00+00:00,10047.772878456628
2024-01-27 19:00:00+00:00,10047.772878456628
2024-01-27 20:00:00+00:00,10047.772878456628
2024-01-27 21:00:00+00:00,10047.772878456628
2024-01-27 22:00:00+00:00,10047.772878456628
2024-01-27 23:00:00+00:00,10047.772878456628
2024-01-28 00:00:00+00:00,10047.772878456628
2024-01-28 01:00:00+00:00,10047.772878456628
2024-01-28 02:00:00+00:00,10047.772878456628
2024-01-28 03:00:00+00:00,10047.772878456628
2024-01-28 04:00:00+00:00,10047.772878456628
2024-01-28 05:00:00+00:00,10047.772878456628
2024-01-28 06:00:00+00:00,10047.772878456628
2024-01-28 07:00:00+00:00,10047.772878456628
2024-01-28 08:00:00+00:00,10047.772878456628
2024-01-28 09:00:00+00:00,10047.772878456628
2024-01-28 10:00:00+00:00,10047.772878456628
2024-01-28 11:00:00+00:00,10047.772878456628
2024-01-28 12:00:00+00:00,10047.772878456628
2024-01-28 13:00:00+00:00,10047.772878456628
2024-01-28 14:00:00+00:00,10047.772878456628
2024-01-28 15:00:00+00:00,10047.772878456628
2024-01-28 16:00:00+00:00,10047.772878456628
2024-01-28 17:00:00+00:00,10047.772878456628
2024-01-28 18:00:00+00:00,10047.772878456628
2024-01-28 19:00:00+00:00,10047.772878456628
2024-01-28 20:00:00+00:00,10047.772878456628
2024-01-28 21:00:00+00:00,10047.772878456628
2024-01-28 22:00:00+00:00,10047.772878456628
2024-01-28 23:00:00+00:00,10047.772878456628
2024-01-29 00:00:00+00:00,10047.772878456628
2024-01-29 01:00:00+00:00,10047.772878456628
2024-01-29 02:00:00+00:00,10047.772878456628
2024-01-29 03:00:00+00:00,10047.772878456628
2024-01-29 04:00:00+00:00,10047.772878456628
2024-01-29 05:00:00+00:00,10047.772878456628
2024-01-29 06:00:00+00:00,10047.772878456628
2024-01-29 07:00:00+00:00,10047.772878456628
2024-01-29 08:00:00+00:00,10047.772878456628
2024-01-29 09:00:00+00:00,10047.772878456628
2024-01-29 10:00:00+00:00,10047.772878456628
2024-01-29 11:00:00+00:00,10047.772878456628
2024-01-29 12:00:00+00:00,10047.772878456628
2024-01-29 13:00:00+00:00,10047.772878456628
2024-01-29 14:00:00+00:00,10047.772878456628
2024-01-29 15:00:00+00:00,10047.772878456628
2024-01-29 16:00:00+00:00,10047.772878456628
2024-01-29 17:00:00+00:00,10047.772878456628
2024-01-29 18:00:00+00:00,10047.772878456628
2024-01-29 19:00:00+00:00,10047.772878456628
2024-01-29 20:00:00+00:00,10047.772878456628
2024-01-29 21:00:00+00:00,10047.772878456628
2024-01-29 22:00:00+00:00,10047.772878456628
2024-01-29 23:00:00+00:00,10047.772878456628
2024-01-30 00:00:00+00:00,10047.772878456628
2024-01-30 01:00:00+00:00,10047.772878456628
2024-01-30 02:00:00+00:00,10047.772878456628
2024-01-30 03:00:00+00:00,10047.772878456628
2024-01-30 04:00:00+00:00,10047.772878456628
2024-01-30 05:00:00+00:00,10047.772878456628
2024-01-30 06:00:00+00:00,10047.772878456628
2024-01-30 07:00:00+00:00,10047.772878456628
2024-01-30 08:00:00+00:00,10047.772878456628
2024-01-30 09:00:00+00:00,10047.772878456628
2024-01-30 10:00:00+00:00,10047.772878456628
2024-01-30 11:00:00+00:00,10047.772878456628
2024-01-30 12:00:00+00:00,10047.772878456628
2024-01-30 13:00:00+00:00,10047.772878456628
2024-01-30 14:00:00+00:00,10047.772878456628
2024-01-30 15:00:00+00:00,10047.772878456628
2024-01-30 16:00:00+00:00,10047.772878456628
2024-01-30 17:00:00+00:00,10047.772878456628
2024-01-30 18:00:00+00:00,10047.772878456628
2024-01-30 19:00:00+00:00,10047.772878456628
2024-01-30 20:00:00+00:00,10047.772878456628
2024-01-30 21:00:00+00:00,10047.772878456628
2024-01-30 22:00:00+00:00,10047.772878456628
2024-01-30 23:00:00+00:00,10047.772878456628
2024-01-31 00:00:00+00:00,10047.772878456628
2024-01-31 01:00:00+00:00,10047.772878456628
2024-01-31 02:00:00+00:00,10047.772878456628
2024-01-31 03:00:00+00:00,10047.772878456628
2024-01-31 04:00:00+00:00,10047.772878456628
2024-01-31 05:00:00+00:00,10047.772878456628
2024-01-31 06:00:00+00:00,10047.772878456628
2024-01-31 07:00:00+00:00,10047.772878456628
2024-01-31 08:00:00+00:00,10047.772878456628
2024-01-31 09:00:00+00:00,10047.772878456628
2024-01-31 10:00:00+00:00,10047.772878456628
2024-01-31 11:00:00+00:00,10047.772878456628
2024-01-31 12:00:00+00:00,10047.772878456628
2024-01-31 13:00:00+00:00,10047.772878456628
2024-01-31 14:00:00+00:00,10047.772878456628
2024-01-31 15:00:00+00:00,10047.772878456628
2024-01-31 16:00:00+00:00,10047.772878456628
2024-01-31 17:00:00+00:00,10047.772878456628
2024-01-31 18:00:00+00:00,10047.772878456628
2024-01-31 19:00:00+00:00,10047.772878456628
2024-01-31 20:00:00+00:00,10047.772878456628
2024-01-31 21:00:00+00:00,10047.772878456628
2024-01-31 22:00:00+00:00,10047.772878456628
2024-01-31 23:00:00+00:00,10047.772878456628
2024-02-01 00:00:00+00:00,10047.772878456628
2024-02-01 01:00:00+00:00,10047.772878456628
2024-02-01 02:00:00+00:00,10047.772878456628
2024-02-01 03:00:00+00:00,10047.772878456628
2024-02-01 04:00:00+00:00,10047.772878456628
2024-02-01 05:00:00+00:00,10047.772878456628
2024-02-01 06:00:00+00:00,10047.772878456628
2024-02-01 07:00:00+00:00,10047.772878456628
2024-02-01 08:00:00+00:00,10047.772878456628
2024-02-01 09:00:00+00:00,10047.772878456628
2024-02-01 10:00:00+00:00,10047.772878456628
2024-02-01 11:00:00+00:00,10047.772878456628
2024-02-01 12:00:00+00:00,10047.772878456628
2024-02-01 13:00:00+00:00,10047.772878456628
2024-02-01 14:00:00+00:00,10047.772878456628
